Longitud,,"65° 47' 39.43""","65° 33' 7.31""","64° 51' 47.99""","65° 27' 4.31""","65° 32' 56.64""","65° 34' 20.15""","65° 14' 25.60""","65° 12' 32.96""","63° 30' 41.45""","62° 31' 7.01""","60° 07' 48.28""","58° 49' 59.08""","57° 43' 43.72""","58° 01' 17.45""","57° 43' 27.75""","57° 32' 47.76""","59° 40' 45.76""","59° 49' 2.86""","60° 18' 22.94""","61° 57' 51.20""","65° 35' 9.46""","66° 20' 57.48""","65° 38' 51.89""","65° 42' 53.17""","65° 39' 57.9""","65° 37' 3.73""","65° 54' 24.14""","65° 33' 6.78""","65° 10' 21.62""","64° 50' 27.98""","65° 27' 1.96""","65° 47' 39.68""","65° 48' 12.20""","65° 43' 52.73""","65° 33' 12.2""","65° 34' 20.12""","65° 14' 25.67""","65° 12' 32.67""","64° 14' 17.88""","64° 6' 37.74""","63° 30' 41.77""","62° 31' 6.71""","58° 26' 47.15""","60° 34' 48.18""","60° 52' 19.21""","62° 9' 19.84""","62° 11' 35.15""","61° 37' 29.15""","62° 1' 9.01"""
Latitud Decimal,,-19.4719,-19.3215,-19.4077,-19.1303,-19.1899,-19.1322,-20.7424,-21.2394,-21.2588,-22.3781,-23.7588,-24.7483,-25.2654,-25.7884,-25.2641,-25.1072,-25.1487,-24.6963,-24.3586,-23.1383,-22.0975,-22.53,-21.5614,-21.4692,-20.8211,-20.487,-19.396,-19.3213,-19.3582,-19.4535,-19.1309,-19.4718,-19.5782,-19.5976,-19.208,-19.1323,-20.7423,-21.2393,-21.1515,-20.9138,-21.2588,-22.3779,-23.8932,-23.5766,-23.452,-22.7122,-22.7002,-23.1698,-22.8601
Longitud Decimal,,-65.7943,-65.552,-64.8633,-65.4512,-65.5491,-65.5723,-65.2404,-65.2092,-63.5115,-62.5186,-60.1301,-58.8331,-57.7288,-58.0215,-57.7244,-57.5466,-59.6794,-59.8175,-60.3064,-61.9642,-65.586,-66.3493,-65.6478,-65.7148,-65.6661,-65.6177,-65.9067,-65.5519,-65.1727,-64.8411,-65.4505,-65.7944,-65.8034,-65.7313,-65.5534,-65.5723,-65.2405,-65.2091,-64.2383,-64.1105,-63.5116,-62.5185,-58.4464,-60.5801,-60.872,-62.1555,-62.1931,-61.6248,-62.0192
Velocidad Media,m/s,0.728,0.411,0.512,1.39,0.732,1.041,1.245,0.693,0.271,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,1.925,1.632,1.405,0.3,2.908,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,0.131,0.235,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
Caudal,m3/s,1,0,11,8,0,6,7,5,58,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,22,5,1,0,56,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,0,4,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Características físico/químicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistividad,Ohm.cm ,772,3470,653,1186,1636,845,674,402,470,431,2430,18.29,388,504,153.1,355,414,1008,1000,1775,1130,2290,2000,1802,1300,1516,1854,2070,2030,4265,1500,1384.5,726,3720,3090,1981,1470,1686,2770,3430,2245,2050,265,1501,1428.5,1548.5,1542,1404,1373
Presión Parcial,mm Hg ,126.3,136.35,130.7,151.7,149.7,176.2,186.4,263.5,214,179.6,96.5,383,124.1,158.9,108.1,34.4,312,131,22.9,83,67.75,132.6,141.9,144,148.25,151.8,140.9,139,159.5,166,156.1,129.4,132.1,123.1,144.9,151.9,145.95,151.5,190.5,186.2,197.3,101.4,108.5,162,130,137.2,135.4,148.5,145
pH en laboratorio,u pH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
